tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location,cluster
2021-06-23,66,107.0,52,17,51,43,107,PM25,TIDAK SEHAT,DKI4,0
2021-06-24,80,119.0,54,19,42,52,119,PM25,TIDAK SEHAT,DKI4,0
2021-06-25,85,147.0,58,30,40,63,147,PM25,TIDAK SEHAT,DKI4,2
2021-06-26,67,118.0,53,10,53,23,118,PM25,TIDAK SEHAT,DKI4,0
2021-06-27,72,134.0,57,22,57,41,134,PM25,TIDAK SEHAT,DKI4,0
2021-06-28,65,117.0,53,18,61,38,117,PM25,TIDAK SEHAT,DKI4,0
2021-06-29,75,128.0,52,24,51,50,128,PM25,TIDAK SEHAT,DKI5,0
2021-06-30,79,125.0,57,19,55,38,125,PM25,TIDAK SEHAT,DKI4,0
2021-07-01,64,114.0,53,14,48,31,114,PM25,TIDAK SEHAT,DKI4,0
2021-07-02,68,108.0,56,23,40,51,108,PM25,TIDAK SEHAT,DKI4,0
2021-07-03,80,141.0,54,13,44,27,141,PM25,TIDAK SEHAT,DKI4,0
2021-07-05,83,153.0,56,13,62,26,153,PM25,TIDAK SEHAT,DKI4,0
2021-07-06,68,102.0,51,10,55,29,102,PM25,TIDAK SEHAT,DKI3,0
2021-07-07,84,130.0,54,12,51,27,130,PM25,TIDAK SEHAT,DKI4,0
2021-07-08,83,145.0,56,11,50,26,145,PM25,TIDAK SEHAT,DKI4,0
2021-07-10,78,132.0,54,10,63,23,132,PM25,TIDAK SEHAT,DKI4,0
2021-07-11,66,119.0,54,10,54,17,119,PM25,TIDAK SEHAT,DKI4,0
2021-07-12,64,59.0,52,9,44,14,64,PM10,SEDANG,DKI2,1
2021-07-13,78,119.0,54,11,43,26,119,PM25,TIDAK SEHAT,DKI2,0
2021-07-14,66,116.0,51,13,50,26,116,PM25,TIDAK SEHAT,DKI4,0
2021-07-16,85,138.0,53,11,53,29,138,PM25,TIDAK SEHAT,DKI4,0
2021-07-17,74,134.0,55,10,58,20,134,PM25,TIDAK SEHAT,DKI4,0
2021-07-18,82,150.0,55,13,58,27,150,PM25,TIDAK SEHAT,DKI4,0
2021-07-19,80,140.0,51,11,77,28,140,PM25,TIDAK SEHAT,DKI4,0
2021-07-20,86,147.0,51,15,60,24,147,PM25,TIDAK SEHAT,DKI4,0
2021-07-21,55,102.0,52,9,58,19,102,PM25,TIDAK SEHAT,DKI4,1
2021-07-22,60,110.0,53,11,54,27,110,PM25,TIDAK SEHAT,DKI4,0
2021-07-23,63,104.0,52,10,59,28,104,PM25,TIDAK SEHAT,DKI4,0
2021-07-24,66,104.0,54,13,51,34,104,PM25,TIDAK SEHAT,DKI4,0
2021-07-25,81,148.0,55,24,54,42,148,PM25,TIDAK SEHAT,DKI4,0
2021-07-26,79,131.0,54,16,46,32,131,PM25,TIDAK SEHAT,DKI4,0
2021-07-27,82,140.0,56,13,41,35,140,PM25,TIDAK SEHAT,DKI4,0
2021-07-28,82,145.0,53,18,40,45,145,PM25,TIDAK SEHAT,DKI4,0
2021-07-29,78,140.0,52,18,53,39,140,PM25,TIDAK SEHAT,DKI5,0
2021-07-30,90,154.0,54,15,81,35,154,PM25,TIDAK SEHAT,DKI4,0
2021-07-31,63,100.0,50,18,65,29,100,PM26,SEDANG,DKI4,0
2021-08-01,55,86.0,50,9,67,22,86,PM25,SEDANG,DKI4,1
2021-08-02,52,81.0,50,10,59,28,81,PM25,SEDANG,DKI4,1
